1,Barcelona,1992,Summer
2,London,2012,Summer
3,Antwerpen,1920,Summer
4,Paris,1900,Summer
5,Calgary,1988,Winter
6,Albertville,1992,Winter
7,Lillehammer,1994,Winter
8,Los Angeles,1932,Summer
9,Salt Lake City,2002,Winter
10,Helsinki,1952,Summer
11,Lake Placid,1980,Winter
12,Sydney,2000,Summer
13,Atlanta,1996,Summer
14,Stockholm,1912,Summer
15,Paris,1924,Summer
16,Sochi,2014,Winter
17,London,1948,Summer
18,Nagano,1998,Winter
19,Torino,2006,Winter
20,Beijing,2008,Summer
21,Rio de Janeiro,2016,Summer
22,Athina,2004,Summer
23,Squaw Valley,1960,Winter
24,Innsbruck,1964,Winter
25,Sarajevo,1984,Winter
26,Los Angeles,1984,Summer
27,Mexico City,1968,Summer
28,Munich,1972,Summer
29,Seoul,1988,Summer
30,Berlin,1936,Summer
31,Oslo,1952,Winter
32,Cortina d'Ampezzo,1956,Winter
33,Melbourne,1956,Summer
34,Roma,1960,Summer
35,Amsterdam,1928,Summer
36,Montreal,1976,Summer
37,Moskva,1980,Summer
38,Tokyo,1964,Summer
39,Vancouver,2010,Winter
40,Grenoble,1968,Winter
41,Athina,1906,Summer
42,Sapporo,1972,Winter
43,Innsbruck,1976,Winter
44,Chamonix,1924,Winter
45,St. Louis,1904,Summer
46,Sankt Moritz,1928,Winter
47,London,1908,Summer
48,Sankt Moritz,1948,Winter
49,Lake Placid,1932,Winter
50,Garmisch-Partenkirchen,1936,Winter
51,Athina,1896,Summer
52,Stockholm,1956,Summer
