1,Gold,1900 Summer,Edgar Lindenau Aabye,Denmark/Sweden,Tug-Of-War Men's Tug-Of-War
2,Bronze,1920 Summer,Arvo Ossian Aaltonen,Finland,Swimming Men's 200 metres Breaststroke
3,Bronze,1920 Summer,Arvo Ossian Aaltonen,Finland,Swimming Men's 400 metres Breaststroke
4,Bronze,2014 Winter,Juhamatti Tapio Aaltonen,Finland,Ice Hockey Men's Ice Hockey
5,Bronze,1948 Summer,Paavo Johannes Aaltonen,Finland,Gymnastics Men's Individual All-Around
6,Gold,1948 Summer,Paavo Johannes Aaltonen,Finland,Gymnastics Men's Team All-Around
7,Gold,1948 Summer,Paavo Johannes Aaltonen,Finland,Gymnastics Men's Horse Vault
8,Gold,1948 Summer,Paavo Johannes Aaltonen,Finland,Gymnastics Men's Pommelled Horse
9,Bronze,1952 Summer,Paavo Johannes Aaltonen,Finland,Gymnastics Men's Team All-Around
10,Gold,1992 Winter,Kjetil Andr Aamodt,Norway,Alpine Skiing Men's Super G
11,Bronze,1992 Winter,Kjetil Andr Aamodt,Norway,Alpine Skiing Men's Giant Slalom
12,Silver,1994 Winter,Kjetil Andr Aamodt,Norway,Alpine Skiing Men's Downhill
13,Bronze,1994 Winter,Kjetil Andr Aamodt,Norway,Alpine Skiing Men's Super G
14,Silver,1994 Winter,Kjetil Andr Aamodt,Norway,Alpine Skiing Men's Combined
15,Gold,2002 Winter,Kjetil Andr Aamodt,Norway,Alpine Skiing Men's Super G
16,Gold,2002 Winter,Kjetil Andr Aamodt,Norway,Alpine Skiing Men's Combined
17,Gold,2006 Winter,Kjetil Andr Aamodt,Norway,Alpine Skiing Men's Super G
18,Gold,2008 Summer,Ragnhild Margrethe Aamodt,Norway,Handball Women's Handball
19,Silver,1920 Summer,Alf Lied Aanning,Norway,"Gymnastics Men's Team All-Around, Free System"
20,Bronze,1988 Summer,Willemien Aardenburg,Netherlands,Hockey Women's Hockey
21,Silver,1996 Summer,Pepijn Aardewijn,Netherlands,Rowing Men's Lightweight Double Sculls
22,Bronze,1996 Summer,Ann Kristin Aarnes,Norway,Football Women's Football
23,Silver,1920 Summer,Karl Jan Aas,Norway,"Gymnastics Men's Team All-Around, Free System"
24,Bronze,1952 Winter,Roald Edgar Aas,Norway,"Speed Skating Men's 1,500 metres"
25,Gold,1960 Winter,Roald Edgar Aas,Norway,"Speed Skating Men's 1,500 metres"
26,Gold,1912 Summer,Thomas Valentin Aas,Taifun,Sailing Mixed 8 metres
27,Gold,1956 Summer,Ren Abadie,France,"Cycling Men's Road Race, Team"
28,Bronze,2016 Summer,Giovanni Abagnale,Italy,Rowing Men's Coxless Pairs
29,Bronze,2008 Summer,Jos Luis Abajo Gmez,Spain,"Fencing Men's epee, Individual"
30,Bronze,2016 Summer,Patimat Abakarova,Azerbaijan,Taekwondo Women's Flyweight
